LOC_Os03g41060.1	8-79
LOC_Os05g51680.2	103-144
LOC_Os05g51680.2	107-157
LOC_Os11g32110.2	28-72
LOC_Os11g32110.2	14-85
LOC_Os03g52320.1	87-200
LOC_Os11g32110.3	28-72
LOC_Os11g32110.3	14-85
LOC_Os03g52320.2	5-25
LOC_Os03g52320.2	30-62
LOC_Os03g52320.2	44-88
LOC_Os03g52320.2	1-105
LOC_Os03g52320.2	96-134
LOC_Os03g52320.2	116-142
LOC_Os11g32110.4	28-72
LOC_Os11g32110.4	14-85
LOC_Os04g50216.1	122-151
LOC_Os05g28170.1	33-62
LOC_Os05g28170.1	8-106
LOC_Os05g28170.1	1-114
LOC_Os05g28170.1	63-164
LOC_Os05g28170.1	166-327
LOC_Os05g28170.1	303-341
LOC_Os05g28170.1	131-367
LOC_Os03g05560.1	23-43
LOC_Os05g28170.2	16-54
LOC_Os05g28170.2	3-98
LOC_Os05g28170.2	95-229
LOC_Os05g28170.2	273-293
LOC_Os05g28170.2	245-436
LOC_Os05g28170.2	440-457
LOC_Os05g28170.2	482-523
LOC_Os05g28170.2	534-563
LOC_Os06g27650.1	74-205
LOC_Os06g27650.1	133-252
LOC_Os06g27650.1	221-265
LOC_Os01g05170.1	12-83
LOC_Os01g61710.1	36-83
LOC_Os01g61710.1	94-114
LOC_Os01g61710.1	29-127
LOC_Os05g37950.1	35-94
LOC_Os05g37950.1	110-199
LOC_Os05g37950.1	193-450
LOC_Os12g07050.3	89-142
LOC_Os12g07050.3	374-439
LOC_Os12g07050.3	115-459
LOC_Os12g07050.3	456-473
LOC_Os12g07050.3	475-510
LOC_Os12g07050.3	479-523
LOC_Os12g07050.3	524-556
LOC_Os12g07050.3	501-572
LOC_Os12g07050.3	532-579
LOC_Os12g07050.3	557-583
LOC_Os01g61710.2	36-83
LOC_Os01g61710.2	94-114
LOC_Os01g61710.2	29-127
LOC_Os02g38080.1	287-319
LOC_Os02g38080.1	61-402
LOC_Os01g61710.3	103-159
LOC_Os01g61710.3	93-260
LOC_Os01g61710.3	208-303
LOC_Os01g61710.3	5-316
LOC_Os02g38080.2	287-319
LOC_Os02g38080.2	61-408
LOC_Os01g61710.4	68-88
LOC_Os01g61710.4	9-101
LOC_Os08g05640.2	14-34
LOC_Os01g14950.1	10-27
LOC_Os01g61710.5	4-60
LOC_Os01g61710.5	48-107
LOC_Os01g61710.5	126-206
LOC_Os01g61710.5	82-219
LOC_Os01g61710.5	104-286
LOC_Os01g61710.5	265-291
LOC_Os01g61710.5	210-335
LOC_Os01g61710.5	332-358
LOC_Os01g61710.6	36-83
LOC_Os01g61710.6	94-114
LOC_Os01g61710.6	29-127
LOC_Os01g61710.6	102-194
LOC_Os01g61710.6	173-199
LOC_Os01g61710.6	118-243
LOC_Os01g61710.6	240-266
LOC_Os06g05250.1	6-44
LOC_Os10g16440.1	140-241
LOC_Os10g16440.1	296-313
LOC_Os02g55150.1	35-79
LOC_Os02g55150.1	92-112
LOC_Os06g05250.2	6-44
LOC_Os10g16440.2	140-241
LOC_Os10g16440.2	296-313
LOC_Os02g55150.2	36-56
LOC_Os02g55150.2	4-63
LOC_Os02g55150.2	57-77
LOC_Os02g55150.2	93-119
LOC_Os02g55150.2	79-135
LOC_Os02g55150.2	132-152
LOC_Os02g55150.2	195-272
LOC_Os02g55150.2	155-286
LOC_Os02g55150.2	250-303
LOC_Os02g55150.2	320-358
LOC_Os02g55150.2	313-402
LOC_Os02g55150.2	409-432
LOC_Os02g55150.2	422-439
LOC_Os02g55150.2	429-455
LOC_Os02g55150.2	456-488
LOC_Os02g55150.2	517-561
LOC_Os02g55150.2	501-593
LOC_Os02g55150.2	600-650
LOC_Os02g55150.2	641-679
LOC_Os06g05250.3	6-44
LOC_Os10g33510.1	37-63
LOC_Os01g46950.1	47-73
LOC_Os01g46950.1	70-99
LOC_Os01g46950.1	195-242
LOC_Os01g46950.1	212-250
LOC_Os01g46950.1	220-294
LOC_Os01g46950.1	382-447
LOC_Os01g46950.1	288-521
LOC_Os03g08900.1	16-36
LOC_Os03g07870.1	285-320
LOC_Os03g07870.1	293-331
LOC_Os01g71310.1	88-132
LOC_Os01g71310.1	54-170
LOC_Os01g71310.1	17-181
LOC_Os01g71310.1	154-216
LOC_Os05g47550.1	57-116
LOC_Os01g07480.1	12-74
LOC_Os01g07480.1	84-155
LOC_Os01g07480.1	5-199
LOC_Os01g07480.1	206-271
LOC_Os01g07480.1	159-281
LOC_Os01g07480.1	148-285
LOC_Os03g32230.1	22-111
LOC_Os03g32230.1	35-115
LOC_Os03g24940.1	106-156
LOC_Os01g07480.2	4-156
LOC_Os01g07480.2	163-228
LOC_Os01g07480.2	59-238
LOC_Os03g24940.2	37-87
LOC_Os03g47160.1	80-100
LOC_Os03g47160.1	18-104
LOC_Os03g39870.1	10-36
LOC_Os03g39870.1	40-66
LOC_Os03g39870.1	24-128
LOC_Os03g39870.1	159-185
LOC_Os03g39870.1	182-217
LOC_Os03g39870.1	130-267
LOC_Os03g39870.1	186-299
LOC_Os03g39870.1	323-352
LOC_Os03g39870.1	334-435
LOC_Os03g39870.1	436-462
LOC_Os03g39870.1	309-545
LOC_Os03g39870.1	555-629
LOC_Os03g39870.1	524-667
LOC_Os03g39870.1	654-818
LOC_Os03g39870.1	664-924
LOC_Os03g39870.1	683-958
LOC_Os03g39870.1	912-968
LOC_Os03g39870.1	959-1006
LOC_Os03g39870.1	979-1041
LOC_Os03g39870.1	1034-1054
LOC_Os03g39870.1	1067-1096
LOC_Os03g39870.1	1045-1107
LOC_Os03g39870.1	1080-1127
LOC_Os03g39870.1	1118-1222
LOC_Os03g39870.1	1262-1312
LOC_Os03g39870.1	1299-1322
LOC_Os10g10080.1	9-44
LOC_Os10g10080.1	31-135
LOC_Os02g57460.1	54-95
LOC_Os02g57460.1	102-254
LOC_Os02g57460.1	82-306
LOC_Os02g57460.1	352-390
LOC_Os02g57460.1	291-398
LOC_Os10g10080.3	14-49
LOC_Os10g10080.3	36-140
LOC_Os10g10080.3	157-315
LOC_Os03g64230.1	40-78
LOC_Os03g64230.1	6-146
LOC_Os03g64230.1	152-193
LOC_Os03g64230.2	25-105
LOC_Os03g64230.2	111-152
LOC_Os03g64230.2	263-379
LOC_Os03g64230.2	190-390
LOC_Os03g64230.2	517-552
LOC_Os01g40590.1	8-244
LOC_Os03g18500.1	29-85
LOC_Os03g18500.1	115-198
LOC_Os03g18500.1	42-230
LOC_Os03g18500.2	25-81
LOC_Os03g18500.2	111-194
LOC_Os03g18500.2	38-226
LOC_Os01g02150.1	9-56
LOC_Os05g42220.1	50-88
LOC_Os05g42220.1	6-125
LOC_Os05g42220.1	133-192
LOC_Os05g42220.1	174-254
LOC_Os05g42220.1	291-332
LOC_Os05g42220.1	217-342
LOC_Os05g42220.1	221-379
LOC_Os05g42220.1	345-404
LOC_Os06g41700.1	61-87
LOC_Os06g41700.1	84-158
LOC_Os06g41700.1	56-256
LOC_Os06g41700.1	253-270
LOC_Os01g73620.1	201-242
LOC_Os01g73620.2	159-200
LOC_Os08g01590.1	21-206
LOC_Os07g42885.1	27-98
LOC_Os07g42885.1	52-111
LOC_Os07g42885.1	80-124
LOC_Os08g01590.2	21-206
LOC_Os08g42198.1	3-32
LOC_Os08g42198.1	22-51
LOC_Os08g42198.1	53-97
LOC_Os03g51610.1	16-132
LOC_Os08g33590.1	16-111
LOC_Os08g33590.1	89-115
LOC_Os08g33590.1	66-176
LOC_Os03g12140.1	109-141
LOC_Os03g12140.1	20-145
LOC_Os09g31486.2	118-243
LOC_Os09g31486.2	247-282
LOC_Os03g12140.2	32-49
LOC_Os03g12140.2	12-56
LOC_Os03g12140.2	118-189
LOC_Os12g06340.1	17-49
LOC_Os12g06340.1	46-63
LOC_Os12g06340.1	67-117
LOC_Os12g06340.1	78-137
LOC_Os12g06340.1	71-148
LOC_Os12g06340.1	152-181
LOC_Os12g06340.1	203-319
LOC_Os12g06340.1	340-381
LOC_Os12g06340.1	382-414
LOC_Os12g06340.1	404-433
LOC_Os03g19780.1	36-65
LOC_Os03g19780.1	62-82
LOC_Os03g19780.1	114-134
LOC_Os03g12140.3	64-93
LOC_Os03g12140.3	77-109
LOC_Os03g12140.3	137-154
LOC_Os03g12140.3	81-158
LOC_Os03g12140.3	106-165
LOC_Os12g06340.2	17-49
LOC_Os12g06340.2	46-63
LOC_Os12g06340.2	67-117
LOC_Os12g06340.2	78-137
LOC_Os12g06340.2	71-148
LOC_Os12g06340.2	152-181
LOC_Os12g06340.2	203-319
LOC_Os12g06340.2	340-381
LOC_Os12g06340.2	382-414
LOC_Os12g06340.2	404-433
LOC_Os12g06340.3	73-105
LOC_Os12g06340.3	95-124
LOC_Os05g05060.1	7-27
LOC_Os05g05060.1	17-34
LOC_Os05g05060.1	31-69
LOC_Os05g05060.1	71-88
LOC_Os04g42590.1	15-89
LOC_Os06g04540.1	24-62
LOC_Os07g02990.1	6-68
LOC_Os07g02990.1	13-135
LOC_Os07g02990.1	151-195
LOC_Os07g02990.1	65-271
LOC_Os07g02990.1	132-281
LOC_Os07g02990.1	265-309
LOC_Os07g02990.1	294-338
LOC_Os07g02990.1	328-366
LOC_Os03g60180.1	37-126
LOC_Os08g43190.1	37-72
LOC_Os06g19470.3	159-194
LOC_Os06g19470.3	264-341
LOC_Os06g19470.3	122-424
LOC_Os06g19470.3	349-435
LOC_Os06g19470.3	417-464
LOC_Os06g19470.3	445-498
LOC_Os06g19470.3	503-538
LOC_Os06g19470.3	559-576
LOC_Os06g19470.3	480-593
LOC_Os06g19470.3	600-716
LOC_Os06g19470.3	723-779
LOC_Os06g19470.3	780-839
LOC_Os08g43190.2	38-73
LOC_Os05g37060.1	29-46
LOC_Os06g19470.4	159-194
LOC_Os06g19470.4	264-341
LOC_Os06g19470.4	122-424
LOC_Os06g19470.4	349-435
LOC_Os06g19470.4	417-464
LOC_Os06g19470.4	445-498
LOC_Os06g19470.4	503-538
LOC_Os06g19470.4	559-576
LOC_Os06g19470.4	480-593
LOC_Os06g19470.4	600-716
LOC_Os06g19470.4	723-779
LOC_Os06g19470.4	780-839
LOC_Os10g31770.1	107-235
LOC_Os10g31770.1	223-297
LOC_Os10g31770.1	287-313
LOC_Os10g31770.1	376-408
LOC_Os03g14450.1	70-159
LOC_Os03g14450.1	214-252
LOC_Os02g48000.1	21-38
LOC_Os02g48000.1	61-108
LOC_Os02g48000.1	105-131
LOC_Os02g48000.1	122-142
LOC_Os02g48000.2	1-33
LOC_Os10g17454.1	60-167
LOC_Os10g17454.1	56-184
LOC_Os10g17454.1	209-265
LOC_Os10g17454.1	106-285
LOC_Os02g48000.3	21-38
LOC_Os02g48000.3	61-108
LOC_Os02g48000.3	105-131
LOC_Os02g48000.3	122-142
LOC_Os04g45930.1	34-153
LOC_Os02g30610.1	86-115
LOC_Os04g45930.2	34-153
LOC_Os01g39800.2	56-262
LOC_Os01g39800.2	144-377
LOC_Os01g39800.2	275-382
LOC_Os01g39800.2	7-444
LOC_Os01g39800.2	447-491
LOC_Os01g39800.2	422-517
LOC_Os01g39800.2	527-562
LOC_Os01g39800.2	564-605
LOC_Os01g39800.2	680-739
LOC_Os01g39800.2	702-773
LOC_Os01g39800.2	761-781
LOC_Os01g39800.2	736-798
LOC_Os01g39800.2	856-885
LOC_Os01g39800.2	895-915
LOC_Os01g39800.2	843-959
LOC_Os01g39800.2	932-967
LOC_Os01g39800.2	974-994
LOC_Os01g39800.2	969-1046
LOC_Os01g39800.2	1043-1063
LOC_Os01g39800.2	952-1122
LOC_Os01g39800.2	1103-1135
LOC_Os01g39800.2	1150-1185
LOC_Os01g39800.2	1143-1208
LOC_Os02g30610.2	40-201
LOC_Os02g30610.2	229-261
LOC_Os02g30610.2	198-314
LOC_Os04g45930.3	34-153
LOC_Os06g46140.1	7-156
LOC_Os06g46140.1	204-227
LOC_Os12g02290.1	8-52
LOC_Os12g02290.1	49-72
LOC_Os12g02290.1	74-97
LOC_Os12g02290.1	118-213
LOC_Os08g07060.1	36-89
LOC_Os01g72910.1	22-57
LOC_Os01g72910.1	35-73
LOC_Os01g72910.1	54-77
LOC_Os01g16370.1	177-194
LOC_Os01g16370.1	213-278
LOC_Os01g16370.1	97-324
LOC_Os01g16370.1	71-334
LOC_Os01g16370.1	306-353
LOC_Os01g16370.1	341-382
LOC_Os01g16370.1	404-496
LOC_Os01g16370.1	432-581
LOC_Os01g16370.1	379-621
LOC_Os01g16370.1	614-664
LOC_Os01g16370.2	177-194
LOC_Os01g16370.2	71-214
LOC_Os01g16370.2	236-328
LOC_Os01g16370.2	264-413
LOC_Os01g16370.2	97-453
LOC_Os01g16370.2	446-496
LOC_Os03g41120.1	150-221
LOC_Os03g41120.1	71-400
LOC_Os03g41120.1	470-517
LOC_Os11g01380.1	25-81
LOC_Os04g40600.1	19-84
LOC_Os03g56050.1	16-120
LOC_Os03g56050.1	77-124
LOC_Os03g56050.1	84-161
LOC_Os08g39060.2	12-299
LOC_Os08g39060.2	327-359
LOC_Os08g39060.2	314-472
LOC_Os08g39060.2	459-506
LOC_Os08g39060.2	479-541
LOC_Os08g39060.2	607-648
LOC_Os08g39060.2	525-662
LOC_Os08g39060.2	672-692
LOC_Os08g39060.2	731-757
LOC_Os08g39060.2	736-780
LOC_Os08g39060.3	12-299
LOC_Os08g39060.3	327-359
LOC_Os08g39060.3	314-472
LOC_Os08g39060.3	459-506
LOC_Os08g39060.3	479-541
LOC_Os03g09290.1	86-139
LOC_Os05g34040.2	129-152
LOC_Os05g34040.2	67-393
LOC_Os01g11040.1	44-163
LOC_Os01g11040.1	106-276
LOC_Os01g11040.1	243-296
LOC_Os03g43430.1	16-54
LOC_Os11g04720.2	16-75
LOC_Os11g04720.2	36-119
LOC_Os12g37630.1	45-83
LOC_Os12g37630.2	45-83
LOC_Os07g10600.2	158-313
LOC_Os07g10600.2	153-353
LOC_Os07g10600.2	325-387
LOC_Os07g10600.2	354-395
LOC_Os07g10600.2	374-478
LOC_Os07g10600.2	497-532
LOC_Os07g10600.2	486-599
LOC_Os08g43510.1	75-152
LOC_Os08g43510.1	181-240
LOC_Os02g42520.2	26-49
LOC_Os02g42520.2	7-72
LOC_Os02g42520.2	59-88
LOC_Os02g42520.2	128-172
LOC_Os10g37240.2	29-94
LOC_Os10g37240.2	57-122
LOC_Os10g37240.2	7-198
LOC_Os10g22310.4	85-153
LOC_Os10g22310.4	111-167
LOC_Os10g22310.4	164-217
LOC_Os10g22310.4	189-221
LOC_Os10g22310.4	214-276
LOC_Os02g42520.3	26-49
LOC_Os02g42520.3	7-72
LOC_Os02g42520.3	59-88
LOC_Os02g42520.3	128-172
LOC_Os02g03050.1	108-260
LOC_Os02g03050.1	339-392
LOC_Os02g03050.1	7-414
LOC_Os02g03050.1	14-436
LOC_Os02g03050.1	408-446
LOC_Os02g03050.1	457-489
LOC_Os02g03050.1	440-523
LOC_Os02g03050.1	496-531
LOC_Os02g03050.2	82-234
LOC_Os02g03050.2	313-366
LOC_Os02g03050.2	397-426
LOC_Os02g03050.2	228-446
LOC_Os02g03050.2	437-481
LOC_Os02g03050.2	456-497
LOC_Os02g03050.2	485-514
LOC_Os02g03050.2	518-547
LOC_Os02g03050.2	478-564
LOC_Os02g03050.2	567-617
LOC_Os02g03050.2	628-669
LOC_Os02g03050.2	645-686
LOC_Os02g03050.2	700-744
LOC_Os02g03050.2	711-755
LOC_Os02g03050.2	752-793
LOC_Os02g03050.2	778-825
LOC_Os02g03050.2	819-854
LOC_Os02g03050.2	841-870
LOC_Os02g03050.2	901-918
LOC_Os02g03050.2	858-926
LOC_Os02g03050.2	923-943
LOC_Os02g03050.2	947-982
LOC_Os02g03050.2	990-1043
LOC_Os02g03050.2	1024-1056
LOC_Os02g03050.2	1044-1085
LOC_Os02g03050.2	1075-1119
LOC_Os02g03050.2	1001-1150
LOC_Os02g03050.2	1147-1170
LOC_Os07g41570.1	7-99
LOC_Os07g41570.1	137-190
LOC_Os07g41570.1	221-244
LOC_Os07g41570.1	142-252
LOC_Os07g41570.1	260-328
LOC_Os07g41570.1	274-336
LOC_Os07g41570.1	93-365
LOC_Os07g41570.1	376-414
LOC_Os07g41570.1	405-464
LOC_Os07g41570.1	483-566
LOC_Os07g41570.1	523-579
LOC_Os07g41570.1	380-592
LOC_Os07g41570.1	610-669
LOC_Os07g41570.1	585-722
LOC_Os07g41570.1	719-745
LOC_Os07g41570.1	764-802
LOC_Os07g41570.1	848-895
LOC_Os07g41570.1	822-899
LOC_Os07g41570.1	917-955
LOC_Os07g41570.1	984-1019
LOC_Os07g41570.1	952-1026
LOC_Os07g41570.1	989-1072
LOC_Os07g41570.1	1023-1085
LOC_Os07g41570.1	1069-1146
LOC_Os07g41570.1	1097-1153
LOC_Os07g41570.1	1176-1196
LOC_Os07g41570.1	1246-1281
LOC_Os07g41570.1	1209-1292
LOC_Os07g41570.1	1321-1338
LOC_Os07g41570.1	1393-1410
LOC_Os07g41570.1	1347-1439
LOC_Os07g41570.1	1467-1484
LOC_Os07g41570.1	1492-1521
LOC_Os07g41570.1	1515-1598
LOC_Os07g41570.1	1602-1718
LOC_Os07g41570.1	1706-1729
LOC_Os01g13350.1	72-209
LOC_Os01g13350.1	206-238
LOC_Os05g34920.1	17-190
LOC_Os01g13350.2	72-209
LOC_Os01g13350.2	206-238
LOC_Os07g03130.1	56-91
LOC_Os11g30360.1	19-84
LOC_Os04g29000.1	32-49
LOC_Os01g61390.1	33-74
LOC_Os01g61390.1	55-207
LOC_Os01g61390.1	147-269
LOC_Os06g45430.1	112-153
LOC_Os01g62420.4	109-150
LOC_Os01g62420.4	62-169
LOC_Os01g62420.4	193-213
LOC_Os01g62420.4	78-287
LOC_Os07g05440.1	36-128
LOC_Os07g05440.1	23-139
LOC_Os07g05440.1	243-338
LOC_Os07g05440.1	10-384
LOC_Os07g05440.1	381-422
LOC_Os07g05440.1	567-734
LOC_Os07g05440.1	747-779
LOC_Os07g05440.1	769-819
LOC_Os07g05440.1	895-939
LOC_Os07g05440.1	952-978
LOC_Os07g05440.1	834-1052
LOC_Os07g05440.1	1052-1114
LOC_Os07g05440.1	1081-1200
LOC_Os07g05440.1	1210-1227
LOC_Os07g05440.1	1115-1237
LOC_Os07g05440.1	1191-1310
LOC_Os07g05440.1	1262-1342
LOC_Os07g05440.1	1427-1468
LOC_Os07g05440.1	1377-1472
LOC_Os07g05440.1	1551-1568
LOC_Os07g05440.1	1469-1576
LOC_Os07g05440.1	1234-1629
LOC_Os07g05440.1	1577-1645
LOC_Os07g05440.1	1593-1667
LOC_Os07g05440.1	1652-1699
LOC_Os07g05440.1	1715-1777
LOC_Os07g05440.1	1761-1850
LOC_Os07g05440.1	1639-1905
LOC_Os07g05440.1	1877-1954
LOC_Os07g05440.1	1947-1970
LOC_Os07g05440.1	1964-2017
LOC_Os07g05440.1	1918-2040
LOC_Os07g05440.1	2024-2062
LOC_Os07g05440.1	2052-2084
LOC_Os07g05440.1	2081-2143
LOC_Os07g05440.1	2158-2178
LOC_Os07g05440.1	2264-2281
LOC_Os07g05440.1	2278-2295
LOC_Os07g05440.1	2282-2311
LOC_Os07g05440.1	2296-2526
LOC_Os07g05440.1	2575-2649
LOC_Os07g05440.1	2777-2800
LOC_Os07g05440.1	2746-2880
LOC_Os07g05440.1	2646-2900
LOC_Os07g05440.1	2912-2941
LOC_Os07g05440.1	2932-3009
LOC_Os03g55340.1	9-92
LOC_Os03g55340.1	22-114
LOC_Os03g55340.1	158-184
LOC_Os07g05440.2	36-128
LOC_Os07g05440.2	23-139
LOC_Os07g05440.2	243-338
LOC_Os07g05440.2	10-384
LOC_Os07g05440.2	381-422
LOC_Os07g05440.2	728-745
LOC_Os07g05440.2	567-755
LOC_Os07g05440.2	709-828
LOC_Os07g05440.2	780-860
LOC_Os07g05440.2	945-986
LOC_Os07g05440.2	895-990
LOC_Os07g05440.2	1069-1086
LOC_Os07g05440.2	987-1094
LOC_Os07g05440.2	752-1147
LOC_Os07g05440.2	1095-1163
LOC_Os07g05440.2	1111-1185
LOC_Os07g05440.2	1170-1217
LOC_Os07g05440.2	1233-1295
LOC_Os07g05440.2	1279-1368
LOC_Os07g05440.2	1157-1423
LOC_Os07g05440.2	1395-1472
LOC_Os07g05440.2	1465-1488
LOC_Os07g05440.2	1482-1535
LOC_Os07g05440.2	1436-1558
LOC_Os07g05440.2	1542-1580
LOC_Os07g05440.2	1570-1602
LOC_Os07g05440.2	1599-1661
LOC_Os07g05440.2	1676-1696
LOC_Os07g05440.2	1782-1799
LOC_Os07g05440.2	1796-1813
LOC_Os07g05440.2	1800-1829
LOC_Os07g05440.2	1814-2044
LOC_Os07g05440.2	2093-2167
LOC_Os07g05440.2	2295-2318
LOC_Os07g05440.2	2264-2398
LOC_Os07g05440.2	2164-2418
LOC_Os07g05440.2	2430-2459
LOC_Os07g05440.2	2450-2527
LOC_Os04g54820.1	8-94
LOC_Os04g54820.1	13-108
LOC_Os04g54820.1	202-237
LOC_Os04g54820.2	8-94
LOC_Os04g54820.2	13-108
LOC_Os04g54820.2	202-237
LOC_Os04g54820.2	406-429
LOC_Os04g54820.2	162-455
LOC_Os04g54820.2	176-463
LOC_Os04g54820.2	445-474
LOC_Os04g54820.2	484-543
LOC_Os04g54820.2	465-566
LOC_Os10g34220.1	137-178
LOC_Os10g34220.1	84-296
LOC_Os10g34220.1	248-382
LOC_Os10g34220.1	399-521
LOC_Os10g34220.1	627-677
LOC_Os10g34220.1	681-755
LOC_Os01g47660.1	14-67
LOC_Os01g72020.1	41-124
LOC_Os01g72020.1	112-141
LOC_Os01g72020.1	254-346
LOC_Os01g72020.1	267-356
LOC_Os01g64730.1	34-126
LOC_Os01g64730.1	298-351
LOC_Os01g64730.1	162-368
LOC_Os09g24038.1	38-64
LOC_Os01g08190.2	62-133
LOC_Os01g08190.2	49-141
LOC_Os01g08190.2	54-200
LOC_Os01g08190.2	161-241
LOC_Os01g08190.2	207-332
LOC_Os01g08190.2	269-343
LOC_Os01g08190.2	399-416
LOC_Os01g08190.2	382-429
LOC_Os01g08190.2	482-508
LOC_Os01g08190.2	466-537
LOC_Os01g08190.2	495-569
LOC_Os01g72020.2	41-124
LOC_Os01g72020.2	112-141
LOC_Os01g72020.2	254-346
LOC_Os01g72020.2	267-356
LOC_Os01g64730.2	34-126
LOC_Os01g64730.2	298-351
LOC_Os01g64730.2	162-368
LOC_Os02g07670.2	8-178
LOC_Os02g07670.2	190-213
LOC_Os02g07670.2	180-362
LOC_Os02g07670.2	235-381
LOC_Os02g07670.2	359-430
LOC_Os02g07670.2	438-479
LOC_Os09g15430.1	22-195
LOC_Os09g15430.1	27-245
LOC_Os09g15430.1	242-316
LOC_Os09g15430.1	310-327
LOC_Os09g15430.1	334-366
LOC_Os09g15430.2	22-168
LOC_Os09g15430.2	27-173
LOC_Os09g15430.2	181-249
LOC_Os09g15430.2	246-320
LOC_Os09g15430.2	314-331
LOC_Os09g15430.2	338-370
LOC_Os02g07670.4	296-328
LOC_Os05g30870.1	30-245
LOC_Os05g30870.1	23-265
LOC_Os09g15430.3	22-240
LOC_Os09g15430.3	27-311
LOC_Os09g15430.3	305-322
LOC_Os09g15430.3	329-361
LOC_Os05g30870.2	20-61
LOC_Os05g30870.2	16-117
LOC_Os05g30870.2	121-150
LOC_Os05g30870.2	3-176
LOC_Os05g30870.2	169-246
LOC_Os05g30870.2	212-274
LOC_Os05g30870.2	231-311
LOC_Os05g30870.2	308-331
LOC_Os05g30870.2	354-371
LOC_Os05g30870.2	335-379
LOC_Os05g30870.2	376-426
LOC_Os05g30870.2	423-458
LOC_Os05g30870.2	451-525
LOC_Os05g30870.2	395-580
LOC_Os05g30870.2	528-605
LOC_Os05g30870.2	583-630
LOC_Os05g30870.2	620-643
LOC_Os05g30870.2	650-676
LOC_Os05g30870.2	708-758
LOC_Os05g30870.2	722-775
LOC_Os09g15430.4	57-200
LOC_Os05g30870.3	30-245
LOC_Os05g30870.3	23-265
LOC_Os11g18940.1	59-103
LOC_Os09g31470.1	21-68
LOC_Os09g31470.1	40-186
LOC_Os09g31470.1	249-296
LOC_Os09g31470.1	301-318
LOC_Os09g31470.1	330-374
LOC_Os09g31470.1	347-394
LOC_Os09g31470.1	388-405
LOC_Os09g31470.1	409-462
LOC_Os09g31470.1	413-478
LOC_Os09g31470.1	399-587
LOC_Os09g31470.1	523-633
LOC_Os09g31470.1	482-667
LOC_Os09g31470.1	664-726
LOC_Os09g31470.1	639-755
LOC_Os09g31470.1	692-772
LOC_Os10g36530.1	124-315
LOC_Os10g36530.1	312-362
LOC_Os10g36530.1	363-410
LOC_Os10g36530.1	56-448
LOC_Os10g36530.2	124-315
LOC_Os10g36530.2	312-362
LOC_Os10g36530.2	363-410
LOC_Os10g36530.2	56-448
LOC_Os03g60509.1	34-57
LOC_Os03g60509.1	17-61
LOC_Os07g23790.1	57-125
LOC_Os07g23790.1	50-184
LOC_Os07g23790.1	150-188
LOC_Os11g34980.1	106-276
LOC_Os11g34980.1	114-317
LOC_Os07g39750.1	19-312
LOC_Os04g17660.1	4-42
LOC_Os04g17660.1	55-177
LOC_Os04g17660.1	72-224
LOC_Os04g17660.1	47-241
LOC_Os03g60509.2	34-57
LOC_Os03g60509.2	17-61
LOC_Os02g56740.2	96-263
LOC_Os02g56740.2	393-410
LOC_Os02g56740.2	420-506
LOC_Os02g56740.2	331-516
LOC_Os02g56740.2	654-677
LOC_Os02g56740.2	681-740
LOC_Os02g56740.2	817-837
LOC_Os02g56740.2	744-899
LOC_Os02g56740.2	952-981
LOC_Os02g56740.2	959-988
LOC_Os07g23790.2	78-224
LOC_Os07g23790.2	160-255
LOC_Os07g23790.2	221-259
LOC_Os07g39750.2	19-312
LOC_Os04g17660.2	31-153
LOC_Os04g17660.2	48-200
LOC_Os04g17660.2	23-217
LOC_Os04g17660.2	234-305
LOC_Os05g24430.1	14-94
LOC_Os05g24430.1	116-139
LOC_Os05g24430.1	158-184
LOC_Os05g24430.1	162-194
LOC_Os05g24430.1	1-222
LOC_Os05g24430.1	198-230
LOC_Os05g24430.1	191-235
LOC_Os05g24430.1	249-275
LOC_Os07g23790.3	83-229
LOC_Os07g23790.3	165-260
LOC_Os07g23790.3	248-265
LOC_Os07g23790.3	226-294
LOC_Os07g23790.3	295-318
LOC_Os07g23790.3	361-396
LOC_Os07g23790.3	276-410
LOC_Os07g23790.3	459-479
LOC_Os07g23790.3	466-495
LOC_Os07g23790.3	501-524
LOC_Os07g23790.3	305-535
LOC_Os07g23790.3	536-574
LOC_Os07g23790.3	525-650
LOC_Os07g23790.3	586-657
LOC_Os07g23790.3	654-671
LOC_Os07g23790.3	737-754
LOC_Os07g23790.3	729-782
LOC_Os07g23790.3	661-798
LOC_Os07g23790.3	767-829
LOC_Os07g23790.3	851-871
LOC_Os07g23790.3	814-909
LOC_Os07g39750.3	19-312
LOC_Os03g01820.1	102-122
LOC_Os03g01820.1	79-126
LOC_Os04g17660.3	31-153
LOC_Os04g17660.3	48-200
LOC_Os04g17660.3	23-217
LOC_Os04g17660.3	234-305
LOC_Os07g23790.4	78-224
LOC_Os07g23790.4	160-255
LOC_Os07g23790.4	243-320
LOC_Os01g19694.1	12-104
LOC_Os01g19694.1	83-148
LOC_Os01g19694.1	129-173
LOC_Os01g19694.1	28-198
LOC_Os01g19694.1	207-233
LOC_Os01g19694.1	246-266
LOC_Os07g23790.5	78-224
LOC_Os07g23790.5	160-255
LOC_Os07g23790.5	243-320
LOC_Os04g42020.1	5-85
LOC_Os04g42020.1	37-102
LOC_Os07g23790.6	78-224
LOC_Os07g23790.6	160-255
LOC_Os07g23790.6	243-320
LOC_Os07g23790.7	78-224
LOC_Os07g23790.7	160-255
LOC_Os07g23790.7	243-293
